Dataset Name,DOAO Training Time,DOAO STD,AdaBoost Training Time,AdaBoost STD
plant-margin.csv,412.007,25.641,13.136,0.979
image-segmentation.csv,84.627,9.116,5.228,0.318
spambase.csv,125.814,5.468,5.977,0.267
planning.csv,1.377,0.167,1.633,0.103
tae.csv,2.351,0.119,1.693,0.076
rmftsa_sleepdata.csv,12.852,1.412,2.121,0.11
plant-texture.csv,703.126,54.31,15.599,1.085
parkinsons.csv,2.624,0.059,1.519,0.063
autos.csv,22.999,0.874,1.762,0.063
wall-following.csv,265.993,4.72,10.292,0.739
hepatitis.csv,2.574,0.094,1.701,0.114
mfeat-morphological.csv,12.666,0.207,1.521,0.119
rabe_131.csv,2.106,0.05,0.231,0.02
oocytes_merluccius_nucleus_4d.csv,14.38,0.328,4.544,0.478
energy-y2.csv,10.924,2.079,1.823,0.078
yeast.csv,129.215,5.068,3.095,0.108
cylinder-bands.csv,6.465,0.148,1.848,0.126
analcatdata_asbestos.csv,2.222,0.088,1.7,0.115
steel-plates.csv,128.333,2.557,6.58,0.861
fri_c0_250_5.csv,2.826,0.131,1.757,0.096
cardiotocography-10clases.csv,156.977,6.603,4.852,0.229
soybean.csv,38.181,5.291,2.581,0.051
disclosure_z.csv,4.817,0.531,1.913,0.11
echocardiogram.csv,2.357,0.104,1.593,0.113
car.csv,27.864,4.373,2.046,0.026
mushroom.csv,47.707,74.773,3.303,0.097
mfeat-karhunen.csv,187.617,11.748,16.889,3.196
bodyfat.csv,2.478,0.71,0.323,0.018
spectf.csv,2.335,0.202,1.673,0.116
